oldname	newname	class	subsystem	evidence	status	emitted_turn
main_core_service_3c82	usb_ep1_out_copy_packet_if_ready	private_helper	usb_ep1	src/dlcp_fw/asm/dlcp_main_v34.asm EP1 OUT packet copy helper	emitted	prior_batch_usb_ep1
flow_main_core_service_3c82_3c9c	usb_ep1_out_copy_packet_if_ready__copy_next_byte	local_label	usb_ep1	src/dlcp_fw/asm/dlcp_main_v34.asm EP1 OUT packet copy loop	emitted	prior_batch_usb_ep1
flow_main_core_service_3c82_3cbc	usb_ep1_out_copy_packet_if_ready__check_remaining	local_label	usb_ep1	src/dlcp_fw/asm/dlcp_main_v34.asm EP1 OUT packet copy remaining check	emitted	prior_batch_usb_ep1
main_usb_service_4624	usb_ep1_configure_hid_buffers	private_helper	usb_ep1	src/dlcp_fw/asm/dlcp_main_v34.asm HID EP1 BDT/buffer configuration	emitted	prior_batch_usb_ep1
main_core_service_48fe	usb_ep1_configure_if_enabled	private_helper	usb_ep1	src/dlcp_fw/asm/dlcp_main_v34.asm conditional EP1 configuration	emitted	prior_batch_usb_ep1
stock_40C_b4	usb_ep1_out_bd_status_b4	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT BDT status alias	emitted	prior_batch_usb_ep1
stock_40C_b4_op	usb_ep1_out_bd_status_op	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT BDT status operand alias	emitted	prior_batch_usb_ep1
stock_40C_b4_phys	usb_ep1_out_bd_status_phys	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT BDT status physical alias	emitted	prior_batch_usb_ep1
stock_40D_b4	usb_ep1_out_bd_count_b4	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT BDT byte count alias	emitted	prior_batch_usb_ep1
stock_40D_b4_op	usb_ep1_out_bd_count_op	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT BDT byte count operand alias	emitted	prior_batch_usb_ep1
stock_40D_b4_phys	usb_ep1_out_bd_count_phys	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT BDT byte count physical alias	emitted	prior_batch_usb_ep1
stock_40E_b4	usb_ep1_out_bd_addr_lo_b4	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT BDT address-low alias	emitted	prior_batch_usb_ep1
stock_40E_b4_op	usb_ep1_out_bd_addr_lo_op	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT BDT address-low operand alias	emitted	prior_batch_usb_ep1
stock_40E_b4_phys	usb_ep1_out_bd_addr_lo_phys	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT BDT address-low physical alias	emitted	prior_batch_usb_ep1
stock_40F_b4	usb_ep1_out_bd_addr_hi_b4	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT BDT address-high alias	emitted	prior_batch_usb_ep1
stock_40F_b4_op	usb_ep1_out_bd_addr_hi_op	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT BDT address-high operand alias	emitted	prior_batch_usb_ep1
stock_40F_b4_phys	usb_ep1_out_bd_addr_hi_phys	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT BDT address-high physical alias	emitted	prior_batch_usb_ep1
stock_410_b4	usb_ep1_in_bd_status_b4	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 IN BDT status alias	emitted	prior_batch_usb_ep1
stock_410_b4_op	usb_ep1_in_bd_status_op	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 IN BDT status operand alias	emitted	prior_batch_usb_ep1
stock_410_b4_phys	usb_ep1_in_bd_status_phys	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 IN BDT status physical alias	emitted	prior_batch_usb_ep1
stock_411_b4	usb_ep1_in_bd_count_b4	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 IN BDT byte count alias	emitted	prior_batch_usb_ep1
stock_411_b4_op	usb_ep1_in_bd_count_op	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 IN BDT byte count operand alias	emitted	prior_batch_usb_ep1
stock_411_b4_phys	usb_ep1_in_bd_count_phys	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 IN BDT byte count physical alias	emitted	prior_batch_usb_ep1
stock_412_b4	usb_ep1_in_bd_addr_lo_b4	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 IN BDT address-low alias	emitted	prior_batch_usb_ep1
stock_412_b4_op	usb_ep1_in_bd_addr_lo_op	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 IN BDT address-low operand alias	emitted	prior_batch_usb_ep1
stock_412_b4_phys	usb_ep1_in_bd_addr_lo_phys	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 IN BDT address-low physical alias	emitted	prior_batch_usb_ep1
stock_413_b4	usb_ep1_in_bd_addr_hi_b4	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 IN BDT address-high alias	emitted	prior_batch_usb_ep1
stock_413_b4_op	usb_ep1_in_bd_addr_hi_op	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 IN BDT address-high operand alias	emitted	prior_batch_usb_ep1
