nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x027b01b8 NONE FUNC kernel32.dll DeleteCriticalSection
2   0x027b01bc NONE FUNC kernel32.dll LeaveCriticalSection
3   0x027b01c0 NONE FUNC kernel32.dll EnterCriticalSection
4   0x027b01c4 NONE FUNC kernel32.dll InitializeCriticalSection
5   0x027b01c8 NONE FUNC kernel32.dll VirtualFree
6   0x027b01cc NONE FUNC kernel32.dll VirtualAlloc
7   0x027b01d0 NONE FUNC kernel32.dll LocalFree
8   0x027b01d4 NONE FUNC kernel32.dll LocalAlloc
9   0x027b01d8 NONE FUNC kernel32.dll GetTickCount
10  0x027b01dc NONE FUNC kernel32.dll QueryPerformanceCounter
11  0x027b01e0 NONE FUNC kernel32.dll GetVersion
12  0x027b01e4 NONE FUNC kernel32.dll GetCurrentThreadId
13  0x027b01e8 NONE FUNC kernel32.dll InterlockedDecrement
14  0x027b01ec NONE FUNC kernel32.dll InterlockedIncrement
15  0x027b01f0 NONE FUNC kernel32.dll VirtualQuery
16  0x027b01f4 NONE FUNC kernel32.dll WideCharToMultiByte
17  0x027b01f8 NONE FUNC kernel32.dll SetCurrentDirectoryA
18  0x027b01fc NONE FUNC kernel32.dll MultiByteToWideChar
19  0x027b0200 NONE FUNC kernel32.dll lstrlenA
20  0x027b0204 NONE FUNC kernel32.dll lstrcpynA
21  0x027b0208 NONE FUNC kernel32.dll LoadLibraryExA
22  0x027b020c NONE FUNC kernel32.dll GetThreadLocale
23  0x027b0210 NONE FUNC kernel32.dll GetStartupInfoA
24  0x027b0214 NONE FUNC kernel32.dll GetProcAddress
25  0x027b0218 NONE FUNC kernel32.dll GetModuleHandleA
26  0x027b021c NONE FUNC kernel32.dll GetModuleFileNameA
27  0x027b0220 NONE FUNC kernel32.dll GetLocaleInfoA
28  0x027b0224 NONE FUNC kernel32.dll GetLastError
29  0x027b0228 NONE FUNC kernel32.dll GetCurrentDirectoryA
30  0x027b022c NONE FUNC kernel32.dll GetCommandLineA
31  0x027b0230 NONE FUNC kernel32.dll FreeLibrary
32  0x027b0234 NONE FUNC kernel32.dll FindFirstFileA
33  0x027b0238 NONE FUNC kernel32.dll FindClose
34  0x027b023c NONE FUNC kernel32.dll ExitProcess
35  0x027b0240 NONE FUNC kernel32.dll ExitThread
36  0x027b0244 NONE FUNC kernel32.dll CreateThread
37  0x027b0248 NONE FUNC kernel32.dll WriteFile
38  0x027b024c NONE FUNC kernel32.dll UnhandledExceptionFilter
39  0x027b0250 NONE FUNC kernel32.dll SetFilePointer
40  0x027b0254 NONE FUNC kernel32.dll SetEndOfFile
41  0x027b0258 NONE FUNC kernel32.dll RtlUnwind
42  0x027b025c NONE FUNC kernel32.dll ReadFile
43  0x027b0260 NONE FUNC kernel32.dll RaiseException
44  0x027b0264 NONE FUNC kernel32.dll GetStdHandle
45  0x027b0268 NONE FUNC kernel32.dll GetFileSize
46  0x027b026c NONE FUNC kernel32.dll GetFileType
47  0x027b0270 NONE FUNC kernel32.dll CreateFileA
48  0x027b0274 NONE FUNC kernel32.dll CloseHandle
1   0x027b027c NONE FUNC user32.dll   GetKeyboardType
2   0x027b0280 NONE FUNC user32.dll   LoadStringA
3   0x027b0284 NONE FUNC user32.dll   MessageBoxA
4   0x027b0288 NONE FUNC user32.dll   CharNextA
1   0x027b0290 NONE FUNC advapi32.dll RegQueryValueExA
2   0x027b0294 NONE FUNC advapi32.dll RegOpenKeyExA
3   0x027b0298 NONE FUNC advapi32.dll RegCloseKey
1   0x027b02a0 NONE FUNC oleaut32.dll SysFreeString
2   0x027b02a4 NONE FUNC oleaut32.dll SysReAllocStringLen
3   0x027b02a8 NONE FUNC oleaut32.dll SysAllocStringLen
1   0x027b02b0 NONE FUNC kernel32.dll TlsSetValue
2   0x027b02b4 NONE FUNC kernel32.dll TlsGetValue
3   0x027b01d4 NONE FUNC kernel32.dll LocalAlloc
4   0x027b0218 NONE FUNC kernel32.dll GetModuleHandleA
1   0x027b0290 NONE FUNC advapi32.dll RegQueryValueExA
2   0x027b0294 NONE FUNC advapi32.dll RegOpenKeyExA
3   0x027b0298 NONE FUNC advapi32.dll RegCloseKey
1   0x027b02d4 NONE FUNC kernel32.dll lstrcpyA
2   0x027b0248 NONE FUNC kernel32.dll WriteFile
3   0x027b02dc NONE FUNC kernel32.dll WaitForSingleObject
4   0x027b01f0 NONE FUNC kernel32.dll VirtualQuery
5   0x027b01cc NONE FUNC kernel32.dll VirtualAlloc
6   0x027b02e8 NONE FUNC kernel32.dll Sleep
7   0x027b02ec NONE FUNC kernel32.dll SizeofResource
8   0x027b02f0 NONE FUNC kernel32.dll SetThreadLocale
9   0x027b0250 NONE FUNC kernel32.dll SetFilePointer
10  0x027b02f8 NONE FUNC kernel32.dll SetEvent
11  0x027b02fc NONE FUNC kernel32.dll SetErrorMode
12  0x027b0254 NONE FUNC kernel32.dll SetEndOfFile
13  0x027b0304 NONE FUNC kernel32.dll ResumeThread
14  0x027b0308 NONE FUNC kernel32.dll ResetEvent
15  0x027b025c NONE FUNC kernel32.dll ReadFile
16  0x027b01fc NONE FUNC kernel32.dll MultiByteToWideChar
17  0x027b0314 NONE FUNC kernel32.dll MulDiv
18  0x027b0318 NONE FUNC kernel32.dll LockResource
19  0x027b031c NONE FUNC kernel32.dll LoadResource
20  0x027b0320 NONE FUNC kernel32.dll LoadLibraryA
21  0x027b01bc NONE FUNC kernel32.dll LeaveCriticalSection
22  0x027b01c4 NONE FUNC kernel32.dll InitializeCriticalSection
23  0x027b032c NONE FUNC kernel32.dll GlobalUnlock
24  0x027b0330 NONE FUNC kernel32.dll GlobalSize
25  0x027b0334 NONE FUNC kernel32.dll GlobalReAlloc
26  0x027b0338 NONE FUNC kernel32.dll GlobalHandle
27  0x027b033c NONE FUNC kernel32.dll GlobalLock
28  0x027b0340 NONE FUNC kernel32.dll GlobalFree
29  0x027b0344 NONE FUNC kernel32.dll GlobalFindAtomA
30  0x027b0348 NONE FUNC kernel32.dll GlobalDeleteAtom
31  0x027b034c NONE FUNC kernel32.dll GlobalAlloc
32  0x027b0350 NONE FUNC kernel32.dll GlobalAddAtomA
33  0x027b0354 NONE FUNC kernel32.dll GetVersionExA
34  0x027b01e0 NONE FUNC kernel32.dll GetVersion
35  0x027b035c NONE FUNC kernel32.dll GetTimeZoneInformation
36  0x027b01d8 NONE FUNC kernel32.dll GetTickCount
37  0x027b020c NONE FUNC kernel32.dll GetThreadLocale
38  0x027b0368 NONE FUNC kernel32.dll GetTempPathA
39  0x027b036c NONE FUNC kernel32.dll GetSystemInfo
40  0x027b0370 NONE FUNC kernel32.dll GetStringTypeExA
41  0x027b0264 NONE FUNC kernel32.dll GetStdHandle
42  0x027b0378 NONE FUNC kernel32.dll GetProfileStringA
43  0x027b0214 NONE FUNC kernel32.dll GetProcAddress
44  0x027b0218 NONE FUNC kernel32.dll GetModuleHandleA
45  0x027b021c NONE FUNC kernel32.dll GetModuleFileNameA
46  0x027b0220 NONE FUNC kernel32.dll GetLocaleInfoA
47  0x027b038c NONE FUNC kernel32.dll GetLocalTime
48  0x027b0224 NONE FUNC kernel32.dll GetLastError
49  0x027b0394 NONE FUNC kernel32.dll GetFullPathNameA
50  0x027b0268 NONE FUNC kernel32.dll GetFileSize
51  0x027b039c NONE FUNC kernel32.dll GetExitCodeThread
52  0x027b03a0 NONE FUNC kernel32.dll GetDiskFreeSpaceA
53  0x027b03a4 NONE FUNC kernel32.dll GetDateFormatA
54  0x027b01e4 NONE FUNC kernel32.dll GetCurrentThreadId
55  0x027b03ac NONE FUNC kernel32.dll GetCurrentProcessId
56  0x027b03b0 NONE FUNC kernel32.dll GetCPInfo
57  0x027b03b4 NONE FUNC kernel32.dll GetACP
58  0x027b03b8 NONE FUNC kernel32.dll FreeResource
59  0x027b01ec NONE FUNC kernel32.dll InterlockedIncrement
60  0x027b03c0 NONE FUNC kernel32.dll InterlockedExchange
61  0x027b01e8 NONE FUNC kernel32.dll InterlockedDecrement
62  0x027b0230 NONE FUNC kernel32.dll FreeLibrary
63  0x027b03cc NONE FUNC kernel32.dll FormatMessageA
64  0x027b03d0 NONE FUNC kernel32.dll FindResourceA
65  0x027b0234 NONE FUNC kernel32.dll FindFirstFileA
66  0x027b0238 NONE FUNC kernel32.dll FindClose
67  0x027b03dc NONE FUNC kernel32.dll FileTimeToLocalFileTime
68  0x027b03e0 NONE FUNC kernel32.dll FileTimeToDosDateTime
69  0x027b03e4 NONE FUNC kernel32.dll EnumCalendarInfoA
70  0x027b01c0 NONE FUNC kernel32.dll EnterCriticalSection
71  0x027b03ec NONE FUNC kernel32.dll DeleteFileA
72  0x027b01b8 NONE FUNC kernel32.dll DeleteCriticalSection
73  0x027b0244 NONE FUNC kernel32.dll CreateThread
74  0x027b0270 NONE FUNC kernel32.dll CreateFileA
75  0x027b03fc NONE FUNC kernel32.dll CreateEventA
76  0x027b0400 NONE FUNC kernel32.dll CompareStringA
77  0x027b0274 NONE FUNC kernel32.dll CloseHandle
1   0x027b040c NONE FUNC version.dll  VerQueryValueA
2   0x027b0410 NONE FUNC version.dll  GetFileVersionInfoSizeA
3   0x027b0414 NONE FUNC version.dll  GetFileVersionInfoA
1   0x027b041c NONE FUNC gdi32.dll    UnrealizeObject
2   0x027b0420 NONE FUNC gdi32.dll    TextOutA
3   0x027b0424 NONE FUNC gdi32.dll    StretchBlt
4   0x027b0428 NONE FUNC gdi32.dll    StartPage
5   0x027b042c NONE FUNC gdi32.dll    StartDocA
6   0x027b0430 NONE FUNC gdi32.dll    SetWindowOrgEx
7   0x027b0434 NONE FUNC gdi32.dll    SetWindowExtEx
8   0x027b0438 NONE FUNC gdi32.dll    SetWinMetaFileBits
9   0x027b043c NONE FUNC gdi32.dll    SetViewportOrgEx
10  0x027b0440 NONE FUNC gdi32.dll    SetViewportExtEx
11  0x027b0444 NONE FUNC gdi32.dll    SetTextColor
12  0x027b0448 NONE FUNC gdi32.dll    SetTextAlign
13  0x027b044c NONE FUNC gdi32.dll    SetStretchBltMode
14  0x027b0450 NONE FUNC gdi32.dll    SetROP2
15  0x027b0454 NONE FUNC gdi32.dll    SetPixel
16  0x027b0458 NONE FUNC gdi32.dll    SetMapMode
17  0x027b045c NONE FUNC gdi32.dll    SetEnhMetaFileBits
18  0x027b0460 NONE FUNC gdi32.dll    SetDIBColorTable
19  0x027b0464 NONE FUNC gdi32.dll    SetBrushOrgEx
20  0x027b0468 NONE FUNC gdi32.dll    SetBkMode
21  0x027b046c NONE FUNC gdi32.dll    SetBkColor
22  0x027b0470 NONE FUNC gdi32.dll    SetAbortProc
23  0x027b0474 NONE FUNC gdi32.dll    SelectPalette
24  0x027b0478 NONE FUNC gdi32.dll    SelectObject
25  0x027b047c NONE FUNC gdi32.dll    SelectClipRgn
26  0x027b0480 NONE FUNC gdi32.dll    SaveDC
27  0x027b0484 NONE FUNC gdi32.dll    RoundRect
28  0x027b0488 NONE FUNC gdi32.dll    RestoreDC
29  0x027b048c NONE FUNC gdi32.dll    Rectangle
30  0x027b0490 NONE FUNC gdi32.dll    RectVisible
31  0x027b0494 NONE FUNC gdi32.dll    RealizePalette
32  0x027b0498 NONE FUNC gdi32.dll    Polyline
33  0x027b049c NONE FUNC gdi32.dll    Polygon
34  0x027b04a0 NONE FUNC gdi32.dll    PolyPolyline
35  0x027b04a4 NONE FUNC gdi32.dll    PlayEnhMetaFile
36  0x027b04a8 NONE FUNC gdi32.dll    Pie
37  0x027b04ac NONE FUNC gdi32.dll    PatBlt
38  0x027b04b0 NONE FUNC gdi32.dll    MoveToEx
39  0x027b04b4 NONE FUNC gdi32.dll    MaskBlt
40  0x027b04b8 NONE FUNC gdi32.dll    LineTo
41  0x027b04bc NONE FUNC gdi32.dll    LPtoDP
42  0x027b04c0 NONE FUNC gdi32.dll    IntersectClipRect
43  0x027b04c4 NONE FUNC gdi32.dll    GetWindowOrgEx
44  0x027b04c8 NONE FUNC gdi32.dll    GetWinMetaFileBits
