nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00449104 NONE FUNC kernel32.dll GetCurrentThreadId
2   0x00449108 NONE FUNC kernel32.dll DeleteCriticalSection
3   0x0044910c NONE FUNC kernel32.dll LeaveCriticalSection
4   0x00449110 NONE FUNC kernel32.dll EnterCriticalSection
5   0x00449114 NONE FUNC kernel32.dll InitializeCriticalSection
6   0x00449118 NONE FUNC kernel32.dll VirtualFree
7   0x0044911c NONE FUNC kernel32.dll VirtualAlloc
8   0x00449120 NONE FUNC kernel32.dll LocalFree
9   0x00449124 NONE FUNC kernel32.dll LocalAlloc
10  0x00449128 NONE FUNC kernel32.dll InterlockedDecrement
11  0x0044912c NONE FUNC kernel32.dll InterlockedIncrement
12  0x00449130 NONE FUNC kernel32.dll VirtualQuery
13  0x00449134 NONE FUNC kernel32.dll WideCharToMultiByte
14  0x00449138 NONE FUNC kernel32.dll MultiByteToWideChar
15  0x0044913c NONE FUNC kernel32.dll lstrlenA
16  0x00449140 NONE FUNC kernel32.dll lstrcpynA
17  0x00449144 NONE FUNC kernel32.dll lstrcpyA
18  0x00449148 NONE FUNC kernel32.dll LoadLibraryExA
19  0x0044914c NONE FUNC kernel32.dll GetThreadLocale
20  0x00449150 NONE FUNC kernel32.dll GetStartupInfoA
21  0x00449154 NONE FUNC kernel32.dll GetProcAddress
22  0x00449158 NONE FUNC kernel32.dll GetModuleHandleA
23  0x0044915c NONE FUNC kernel32.dll GetModuleFileNameA
24  0x00449160 NONE FUNC kernel32.dll GetLocaleInfoA
25  0x00449164 NONE FUNC kernel32.dll GetLastError
26  0x00449168 NONE FUNC kernel32.dll GetCommandLineA
27  0x0044916c NONE FUNC kernel32.dll FreeLibrary
28  0x00449170 NONE FUNC kernel32.dll FindFirstFileA
29  0x00449174 NONE FUNC kernel32.dll FindClose
30  0x00449178 NONE FUNC kernel32.dll ExitProcess
31  0x0044917c NONE FUNC kernel32.dll ExitThread
32  0x00449180 NONE FUNC kernel32.dll CreateThread
33  0x00449184 NONE FUNC kernel32.dll WriteFile
34  0x00449188 NONE FUNC kernel32.dll UnhandledExceptionFilter
35  0x0044918c NONE FUNC kernel32.dll SetFilePointer
36  0x00449190 NONE FUNC kernel32.dll SetEndOfFile
37  0x00449194 NONE FUNC kernel32.dll RtlUnwind
38  0x00449198 NONE FUNC kernel32.dll ReadFile
39  0x0044919c NONE FUNC kernel32.dll RaiseException
40  0x004491a0 NONE FUNC kernel32.dll GetStdHandle
41  0x004491a4 NONE FUNC kernel32.dll GetFileSize
42  0x004491a8 NONE FUNC kernel32.dll GetFileType
43  0x004491ac NONE FUNC kernel32.dll CreateFileA
44  0x004491b0 NONE FUNC kernel32.dll CloseHandle
1   0x004491b8 NONE FUNC user32.dll   GetKeyboardType
2   0x004491bc NONE FUNC user32.dll   LoadStringA
3   0x004491c0 NONE FUNC user32.dll   MessageBoxA
4   0x004491c4 NONE FUNC user32.dll   CharNextA
1   0x004491cc NONE FUNC advapi32.dll RegQueryValueExA
2   0x004491d0 NONE FUNC advapi32.dll RegOpenKeyExA
3   0x004491d4 NONE FUNC advapi32.dll RegCloseKey
1   0x004491dc NONE FUNC oleaut32.dll VariantChangeTypeEx
2   0x004491e0 NONE FUNC oleaut32.dll VariantCopyInd
3   0x004491e4 NONE FUNC oleaut32.dll VariantClear
4   0x004491e8 NONE FUNC oleaut32.dll SysStringLen
5   0x004491ec NONE FUNC oleaut32.dll SysFreeString
6   0x004491f0 NONE FUNC oleaut32.dll SysReAllocStringLen
7   0x004491f4 NONE FUNC oleaut32.dll SysAllocStringLen
1   0x004491fc NONE FUNC kernel32.dll TlsSetValue
2   0x00449200 NONE FUNC kernel32.dll TlsGetValue
3   0x00449204 NONE FUNC kernel32.dll TlsFree
4   0x00449208 NONE FUNC kernel32.dll TlsAlloc
5   0x00449120 NONE FUNC kernel32.dll LocalFree
6   0x00449124 NONE FUNC kernel32.dll LocalAlloc
7   0x0044915c NONE FUNC kernel32.dll GetModuleFileNameA
1   0x004491cc NONE FUNC advapi32.dll RegQueryValueExA
2   0x004491d0 NONE FUNC advapi32.dll RegOpenKeyExA
3   0x004491d4 NONE FUNC advapi32.dll RegCloseKey
1   0x00449144 NONE FUNC kernel32.dll lstrcpyA
2   0x00449184 NONE FUNC kernel32.dll WriteFile
3   0x00449234 NONE FUNC kernel32.dll WaitForSingleObject
4   0x00449130 NONE FUNC kernel32.dll VirtualQuery
5   0x0044911c NONE FUNC kernel32.dll VirtualAlloc
6   0x00449240 NONE FUNC kernel32.dll SleepEx
